ORIGIN,Cluster
ABE,0
ABI,0
ABQ,0
ABR,0
ABY,0
ACT,0
ACV,0
ACY,0
ADK,0
ADQ,0
AEX,0
AGS,0
AKN,0
ALB,0
ALO,0
ALW,0
AMA,0
ANC,0
APN,0
ART,0
ASE,0
ATL,1
ATW,0
ATY,0
AUS,0
AVL,0
AVP,0
AZA,0
AZO,0
BDL,0
BET,0
BFF,0
BFL,0
BGR,0
BHM,0
BIH,0
BIL,0
BIS,0
BJI,0
BLI,0
BLV,0
BMI,0
BNA,1
BOI,0
BOS,1
BPT,0
BQK,0
BQN,0
BRD,0
BRO,0
BRW,0
BTM,0
BTR,0
BTV,0
BUF,0
BUR,0
BWI,0
BZN,0
CAE,0
CAK,0
CDC,0
CDV,0
CHA,0
CHO,0
CHS,0
CID,0
CIU,0
CKB,0
CLD,0
CLE,0
CLL,0
CLT,1
CMH,0
CMI,0
CMX,0
COD,0
COS,0
COU,0
CPR,0
CRP,0
CRW,0
CSG,0
CVG,0
CWA,0
CYS,0
DAB,0
DAL,0
DAY,0
DCA,1
DDC,0
DEC,0
DEN,1
DFW,1
DHN,0
DIK,0
DLG,0
DLH,0
DRO,0
DSM,0
DTW,1
DVL,0
EAR,0
EAT,0
EAU,0
ECP,0
EGE,0
EKO,0
ELM,0
ELP,0
ERI,0
ESC,0
EUG,0
EVV,0
EWN,0
EWR,1
EYW,0
FAI,0
FAR,0
FAT,0
FAY,0
FCA,0
FLG,0
FLL,1
FLO,0
FMN,0
FNT,0
FOD,0
FSD,0
FSM,0
FWA,0
GCC,0
GCK,0
GEG,0
GFK,0
GGG,0
GJT,0
GNV,0
GPT,0
GRB,0
GRI,0
GRK,0
GRR,0
GSO,0
GSP,0
GTF,0
GTR,0
GUC,0
GUF,0
GUM,0
HDN,0
HGR,0
HHH,0
HIB,0
HLN,0
HNL,0
HOB,0
HOU,0
HPN,0
HRL,0
HSV,0
HTS,0
HYS,0
IAD,0
IAG,0
IAH,1
ICT,0
IDA,0
ILM,0
IMT,0
IND,0
INL,0
ISP,0
ITH,0
ITO,0
JAC,0
JAN,0
JAX,0
JFK,1
JLN,0
JMS,0
JNU,0
JST,0
KOA,0
KTN,0
LAF,0
LAN,0
LAR,0
LAS,1
LAW,0
LAX,1
LBB,0
LBE,0
LBF,0
LBL,0
LCH,0
LCK,0
LEX,0
LFT,0
LGA,1
LGB,0
LIH,0
LIT,0
LNK,0
LRD,0
LSE,0
LWB,0
LWS,0
LYH,0
MAF,0
MBS,0
MCI,0
MCO,1
MCW,0
MDT,0
MDW,0
MEI,0
MEM,0
MFE,0
MFR,0
MGM,0
MGW,0
MHK,0
MHT,0
MIA,1
MKE,0
MLB,0
MLI,0
MLU,0
MOB,0
MOT,0
MQT,0
MRY,0
MSN,0
MSO,0
MSP,1
MSY,0
MTJ,0
MYR,0
OAJ,0
OAK,0
OGG,0
OKC,0
OMA,0
OME,0
ONT,0
ORD,1
ORF,0
ORH,0
OTH,0
OTZ,0
PAE,0
PAH,0
PBG,0
PBI,0
PDX,0
PGD,0
PGV,0
PHF,0
PHL,1
PHX,1
PIA,0
PIB,0
PIE,0
PIH,0
PIR,0
PIT,0
PLN,0
PNS,0
PPG,0
PQI,0
PRC,0
PSC,0
PSE,0
PSG,0
PSM,0
PSP,0
PUW,0
PVD,0
PVU,0
PWM,0
RAP,0
RDD,0
RDM,0
RDU,0
RFD,0
RHI,0
RIC,0
RIW,0
RKS,0
RNO,0
ROA,0
ROC,0
ROW,0
RST,0
RSW,0
SAF,0
SAN,1
SAT,0
SAV,0
SBA,0
SBN,0
SBP,0
SBY,0
SCC,0
SCE,0
SCK,0
SDF,0
SEA,1
SFB,0
SFO,1
SGF,0
SGU,0
SHD,0
SHR,0
SHV,0
SIT,0
SJC,0
SJT,0
SJU,0
SLC,0
SLN,0
SMF,0
SMX,0
SNA,0
SPI,0
SPN,0
SPS,0
SRQ,0
STC,0
STL,0
STS,0
STT,0
STX,0
SUN,0
SUX,0
SWF,0
SWO,0
SYR,0
TLH,0
TOL,0
TPA,0
TRI,0
TTN,0
TUL,0
TUS,0
TVC,0
TWF,0
TXK,0
TYR,0
TYS,0
USA,0
VCT,0
VLD,0
VPS,0
VRB,0
WRG,0
XNA,0
XWA,0
YAK,0
YKM,0
YUM,0
